目录,模型名称,下载地址
"audio","wav2vec2_large_english_fp16.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/audio_encoders/wav2vec2_large_english_fp16.safetensors"
"audio","whisper_large_v3_fp16.safetensors","https://huggingface.co/Comfy-Org/HuMo_ComfyUI/resolve/main/split_files/audio_encoders/whisper_large_v3_fp16.safetensors"
"checkpoints","512-inpainting-ema.safetensors","https://huggingface.co/Comfy-Org/stable_diffusion_2.1_repackaged/resolve/main/512-inpainting-ema.safetensors"
"checkpoints","DreamShaper_8_pruned.safetensors","https://huggingface.co/Lykon/DreamShaper/resolve/main/DreamShaper_8_pruned.safetensors"
"checkpoints","NetaYumev35_pretrained_all_in_one.safetensors","https://huggingface.co/duongve/NetaYume-Lumina-Image-2.0/resolve/main/NetaYumev35_pretrained_all_in_one.safetensors"
"checkpoints","ace_step_v1_3.5b.safetensors","https://huggingface.co/Comfy-Org/ACE-Step_ComfyUI_repackaged/blob/main/all_in_one/ace_step_v1_3.5b.safetensors"
"checkpoints","architecturerealmix_v11.safetensors","https://civitai.com/api/download/models/431755?type=Model&format=SafeTensor&size=full&fp=fp16"
"checkpoints","dreamshaper_8.safetensors","https://civitai.com/api/download/models/128713?type=Model&format=SafeTensor&size=pruned&fp=fp16"
"checkpoints","flux1-schnell-fp8.safetensors","⚠️ 未提供"
"checkpoints","hunyuan3d-dit-v2-mv-turbo_fp16.safetensors","https://huggingface.co/Comfy-Org/hunyuan3D_2.0_repackaged/resolve/main/split_files/hunyuan3d-dit-v2-mv-turbo_fp16.safetensors"
"checkpoints","hunyuan3d-dit-v2-mv_fp16.safetensors","https://huggingface.co/Comfy-Org/hunyuan3D_2.0_repackaged/resolve/main/split_files/hunyuan3d-dit-v2-mv_fp16.safetensors"
"checkpoints","hunyuan3d-dit-v2_fp16.safetensors","https://huggingface.co/Comfy-Org/hunyuan3D_2.0_repackaged/resolve/main/split_files/hunyuan3d-dit-v2_fp16.safetensors"
